game_date,home_team,away_team,game_url,outcome,score,competition,stadium,attendance,competition_2,score_2,match_notes
06 Feb 1982,Hereford United,Tranmere Rovers,https://www.11v11.com/matches/hereford-united-v-tranmere-rovers-06-february-1982-46710/,D,1-1,League Division Four,,2071,League Division Four,1-1,
09 Feb 1982,Tranmere Rovers,Halifax Town,https://www.11v11.com/matches/tranmere-rovers-v-halifax-town-09-february-1982-46724/,D,1-1,League Division Four,,1454,League Division Four,1-1,
13 Feb 1982,Tranmere Rovers,Hull City,https://www.11v11.com/matches/tranmere-rovers-v-hull-city-13-february-1982-46737/,D,2-2,League Division Four,,1737,League Division Four,2-2,
15 Feb 1982,Stockport County,Tranmere Rovers,https://www.11v11.com/matches/stockport-county-v-tranmere-rovers-15-february-1982-46741/,D,1-1,League Division Four,,1934,League Division Four,1-1,
23 Feb 1982,Tranmere Rovers,Peterborough United,https://www.11v11.com/matches/tranmere-rovers-v-peterborough-united-23-february-1982-46760/,L,1-2,League Division Four,,1185,League Division Four,2-1 to Peterborough United,
27 Feb 1982,Bury,Tranmere Rovers,https://www.11v11.com/matches/bury-v-tranmere-rovers-27-february-1982-46765/,L,4-0,League Division Four,,3295,League Division Four,4-0 to Bury,
02 Mar 1982,Tranmere Rovers,Colchester United,https://www.11v11.com/matches/tranmere-rovers-v-colchester-united-02-march-1982-46777/,W,2-1,League Division Four,,1252,League Division Four,2-1 to Tranmere Rovers,
06 Mar 1982,Tranmere Rovers,Torquay United,https://www.11v11.com/matches/tranmere-rovers-v-torquay-united-06-march-1982-46787/,D,1-1,League Division Four,,1186,League Division Four,1-1,
10 Mar 1982,Hartlepool United,Tranmere Rovers,https://www.11v11.com/matches/hartlepool-united-v-tranmere-rovers-10-march-1982-46799/,D,0-0,League Division Four,,1633,League Division Four,0-0,
13 Mar 1982,Tranmere Rovers,Northampton Town,https://www.11v11.com/matches/tranmere-rovers-v-northampton-town-13-march-1982-46810/,L,0-2,League Division Four,,1198,League Division Four,2-0 to Northampton Town,
16 Mar 1982,Tranmere Rovers,Rochdale,https://www.11v11.com/matches/tranmere-rovers-v-rochdale-16-march-1982-46821/,W,2-0,League Division Four,,1141,League Division Four,2-0 to Tranmere Rovers,
20 Mar 1982,AFC Bournemouth,Tranmere Rovers,https://www.11v11.com/matches/afc-bournemouth-v-tranmere-rovers-20-march-1982-46824/,D,1-1,League Division Four,,5302,League Division Four,1-1,
27 Mar 1982,Tranmere Rovers,Sheffield United,https://www.11v11.com/matches/tranmere-rovers-v-sheffield-united-27-march-1982-46854/,D,2-2,League Division Four,,4661,League Division Four,2-2,
03 Apr 1982,Bradford City,Tranmere Rovers,https://www.11v11.com/matches/bradford-city-v-tranmere-rovers-03-april-1982-46866/,D,1-1,League Division Four,,4489,League Division Four,1-1,
10 Apr 1982,Tranmere Rovers,Blackpool,https://www.11v11.com/matches/tranmere-rovers-v-blackpool-10-april-1982-46887/,W,3-1,League Division Four,,1828,League Division Four,3-1 to Tranmere Rovers,
12 Apr 1982,Crewe Alexandra,Tranmere Rovers,https://www.11v11.com/matches/crewe-alexandra-v-tranmere-rovers-12-april-1982-46892/,D,1-1,League Division Four,,2015,League Division Four,1-1,
17 Apr 1982,Mansfield Town,Tranmere Rovers,https://www.11v11.com/matches/mansfield-town-v-tranmere-rovers-17-april-1982-46910/,L,3-0,League Division Four,,1697,League Division Four,3-0 to Mansfield Town,
24 Apr 1982,Tranmere Rovers,Aldershot,https://www.11v11.com/matches/tranmere-rovers-v-aldershot-24-april-1982-46929/,W,1-0,League Division Four,,1237,League Division Four,1-0 to Tranmere Rovers,
30 Apr 1982,Darlington,Tranmere Rovers,https://www.11v11.com/matches/darlington-v-tranmere-rovers-30-april-1982-46938/,W,1-2,League Division Four,,1612,League Division Four,2-1 to Tranmere Rovers,
04 May 1982,Tranmere Rovers,Stockport County,https://www.11v11.com/matches/tranmere-rovers-v-stockport-county-04-may-1982-46955/,W,2-0,League Division Four,,1212,League Division Four,2-0 to Tranmere Rovers,
08 May 1982,Tranmere Rovers,Port Vale,https://www.11v11.com/matches/tranmere-rovers-v-port-vale-08-may-1982-46971/,L,1-2,League Division Four,,1521,League Division Four,2-1 to Port Vale,
15 May 1982,Peterborough United,Tranmere Rovers,https://www.11v11.com/matches/peterborough-united-v-tranmere-rovers-15-may-1982-46983/,W,1-2,League Division Four,,1897,League Division Four,2-1 to Tranmere Rovers,
09 Aug 1980,Port Vale,Tranmere Rovers,https://www.11v11.com/matches/port-vale-v-tranmere-rovers-09-august-1980-30522/,W,2-3,League Cup,,,League Cup 1st round 1st leg,3-2 to Tranmere Rovers,
12 Aug 1980,Tranmere Rovers,Port Vale,https://www.11v11.com/matches/tranmere-rovers-v-port-vale-12-august-1980-30546/,L,0-1Agg: 3-3,League Cup,Prenton Park,2386,League Cup 1st round 2nd leg,1-0 to Port Vale,Tranmere Rovers won on the away goals rule.|3-3 on aggregate.|After extra time.
16 Aug 1980,Hereford United,Tranmere Rovers,https://www.11v11.com/matches/hereford-united-v-tranmere-rovers-16-august-1980-45888/,D,1-1,League Division Four,,3034,League Division Four,1-1,
18 Aug 1980,Tranmere Rovers,Crewe Alexandra,https://www.11v11.com/matches/tranmere-rovers-v-crewe-alexandra-18-august-1980-45898/,L,0-1,League Division Four,,2238,League Division Four,1-0 to Crewe Alexandra,
20 Aug 1980,Southend United,Tranmere Rovers,https://www.11v11.com/matches/southend-united-v-tranmere-rovers-20-august-1980-45906/,L,2-0,League Division Four,,4623,League Division Four,2-0 to Southend United,
26 Aug 1980,Brighton and Hove Albion,Tranmere Rovers,https://www.11v11.com/matches/brighton-and-hove-albion-v-tranmere-rovers-26-august-1980-30570/,L,3-1,League Cup,,,League Cup 2nd round 1st leg,3-1 to Brighton and Hove Albion,
29 Aug 1980,Tranmere Rovers,Rochdale,https://www.11v11.com/matches/tranmere-rovers-v-rochdale-29-august-1980-45920/,W,3-1,League Division Four,,1828,League Division Four,3-1 to Tranmere Rovers,
03 Sep 1980,Tranmere Rovers,Brighton and Hove Albion,https://www.11v11.com/matches/tranmere-rovers-v-brighton-and-hove-albion-03-september-1980-30611/,L,2-4Agg: 3-7,League Cup,,,League Cup 2nd round 2nd leg,4-2 to Brighton and Hove Albion,
05 Sep 1980,Tranmere Rovers,Peterborough United,https://www.11v11.com/matches/tranmere-rovers-v-peterborough-united-05-september-1980-45932/,L,1-2,League Division Four,,1772,League Division Four,2-1 to Peterborough United,
13 Sep 1980,AFC Bournemouth,Tranmere Rovers,https://www.11v11.com/matches/afc-bournemouth-v-tranmere-rovers-13-september-1980-45942/,L,1-0,League Division Four,,2642,League Division Four,1-0 to AFC Bournemouth,
19 Sep 1980,Tranmere Rovers,Torquay United,https://www.11v11.com/matches/tranmere-rovers-v-torquay-united-19-september-1980-45968/,W,1-0,League Division Four,,1564,League Division Four,1-0 to Tranmere Rovers,
23 Sep 1980,York City,Tranmere Rovers,https://www.11v11.com/matches/york-city-v-tranmere-rovers-23-september-1980-45978/,L,4-1,League Division Four,,2322,League Division Four,4-1 to York City,
27 Sep 1980,Bradford City,Tranmere Rovers,https://www.11v11.com/matches/bradford-city-v-tranmere-rovers-27-september-1980-45982/,W,0-3,League Division Four,,3628,League Division Four,3-0 to Tranmere Rovers,
29 Sep 1980,Tranmere Rovers,York City,https://www.11v11.com/matches/tranmere-rovers-v-york-city-29-september-1980-45992/,W,5-0,League Division Four,,1595,League Division Four,5-0 to Tranmere Rovers,
03 Oct 1980,Tranmere Rovers,Wimbledon,https://www.11v11.com/matches/tranmere-rovers-v-wimbledon-03-october-1980-46005/,W,3-0,League Division Four,,2507,League Division Four,3-0 to Tranmere Rovers,
06 Oct 1980,Mansfield Town,Tranmere Rovers,https://www.11v11.com/matches/mansfield-town-v-tranmere-rovers-06-october-1980-46015/,D,1-1,League Division Four,,1925,League Division Four,1-1,
11 Oct 1980,Port Vale,Tranmere Rovers,https://www.11v11.com/matches/port-vale-v-tranmere-rovers-11-october-1980-46035/,L,5-1,League Division Four,,2820,League Division Four,5-1 to Port Vale,
17 Oct 1980,Tranmere Rovers,Aldershot,https://www.11v11.com/matches/tranmere-rovers-v-aldershot-17-october-1980-46041/,W,3-1,League Division Four,,2312,League Division Four,3-1 to Tranmere Rovers,
20 Oct 1980,Tranmere Rovers,Halifax Town,https://www.11v11.com/matches/tranmere-rovers-v-halifax-town-20-october-1980-46052/,W,2-0,League Division Four,,2314,League Division Four,2-0 to Tranmere Rovers,
25 Oct 1980,Wigan Athletic,Tranmere Rovers,https://www.11v11.com/matches/wigan-athletic-v-tranmere-rovers-25-october-1980-46073/,D,1-1,League Division Four,"Springfield Park, Wigan",5421,League Division Four,1-1,
29 Oct 1980,Lincoln City,Tranmere Rovers,https://www.11v11.com/matches/lincoln-city-v-tranmere-rovers-29-october-1980-46085/,L,2-0,League Division Four,,4628,League Division Four,2-0 to Lincoln City,
31 Oct 1980,Tranmere Rovers,Bury,https://www.11v11.com/matches/tranmere-rovers-v-bury-31-october-1980-46089/,W,3-1,League Division Four,,2426,League Division Four,3-1 to Tranmere Rovers,
03 Nov 1980,Tranmere Rovers,Mansfield Town,https://www.11v11.com/matches/tranmere-rovers-v-mansfield-town-03-november-1980-46100/,W,1-0,League Division Four,,2048,League Division Four,1-0 to Tranmere Rovers,
08 Nov 1980,Darlington,Tranmere Rovers,https://www.11v11.com/matches/darlington-v-tranmere-rovers-08-november-1980-46115/,L,2-0,League Division Four,,1645,League Division Four,2-0 to Darlington,
12 Nov 1980,Crewe Alexandra,Tranmere Rovers,https://www.11v11.com/matches/crewe-alexandra-v-tranmere-rovers-12-november-1980-46131/,L,3-0,League Division Four,,3173,League Division Four,3-0 to Crewe Alexandra,
22 Nov 1980,Tranmere Rovers,York City,https://www.11v11.com/matches/tranmere-rovers-v-york-city-22-november-1980-214689/,D,0-0,FA Cup,,,FA Cup 1st round,0-0,
25 Nov 1980,York City,Tranmere Rovers,https://www.11v11.com/matches/york-city-v-tranmere-rovers-25-november-1980-214702/,W,1-2,FA Cup,,,FA Cup 1st round replay,2-1 to Tranmere Rovers,
29 Nov 1980,Northampton Town,Tranmere Rovers,https://www.11v11.com/matches/northampton-town-v-tranmere-rovers-29-november-1980-46151/,L,3-1,League Division Four,,1487,League Division Four,3-1 to Northampton Town,
05 Dec 1980,Tranmere Rovers,Hartlepool United,https://www.11v11.com/matches/tranmere-rovers-v-hartlepool-united-05-december-1980-46154/,D,2-2,League Division Four,,1523,League Division Four,2-2,
13 Dec 1980,Tranmere Rovers,Huddersfield Town,https://www.11v11.com/matches/tranmere-rovers-v-huddersfield-town-13-december-1980-214724/,L,0-3,FA Cup,,,FA Cup 2nd round,3-0 to Huddersfield Town,
20 Dec 1980,Scunthorpe United,Tranmere Rovers,https://www.11v11.com/matches/scunthorpe-united-v-tranmere-rovers-20-december-1980-46177/,L,2-0,League Division Four,,1667,League Division Four,2-0 to Scunthorpe United,
26 Dec 1980,Tranmere Rovers,Stockport County,https://www.11v11.com/matches/tranmere-rovers-v-stockport-county-26-december-1980-46189/,W,1-0,League Division Four,,2531,League Division Four,1-0 to Tranmere Rovers,
27 Dec 1980,Doncaster Rovers,Tranmere Rovers,https://www.11v11.com/matches/doncaster-rovers-v-tranmere-rovers-27-december-1980-46192/,L,1-0,League Division Four,,5530,League Division Four,1-0 to Doncaster Rovers,
10 Jan 1981,Halifax Town,Tranmere Rovers,https://www.11v11.com/matches/halifax-town-v-tranmere-rovers-10-january-1981-46211/,D,1-1,League Division Four,,1268,League Division Four,1-1,
16 Jan 1981,Tranmere Rovers,Northampton Town,https://www.11v11.com/matches/tranmere-rovers-v-northampton-town-16-january-1981-46218/,W,3-2,League Division Four,,1246,League Division Four,3-2 to Tranmere Rovers,
24 Jan 1981,Rochdale,Tranmere Rovers,https://www.11v11.com/matches/rochdale-v-tranmere-rovers-24-january-1981-46234/,L,3-1,League Division Four,,2731,League Division Four,3-1 to Rochdale,
30 Jan 1981,Tranmere Rovers,Southend United,https://www.11v11.com/matches/tranmere-rovers-v-southend-united-30-january-1981-46238/,D,2-2,League Division Four,,2127,League Division Four,2-2,
06 Feb 1981,Tranmere Rovers,AFC Bournemouth,https://www.11v11.com/matches/tranmere-rovers-v-afc-bournemouth-06-february-1981-46252/,L,0-1,League Division Four,,2480,League Division Four,1-0 to AFC Bournemouth,
01 Mar 1981,Torquay United,Tranmere Rovers,https://www.11v11.com/matches/torquay-united-v-tranmere-rovers-01-march-1981-46293/,L,2-1,League Division Four,,2646,League Division Four,2-1 to Torquay United,
03 Mar 1981,Tranmere Rovers,Lincoln City,https://www.11v11.com/matches/tranmere-rovers-v-lincoln-city-03-march-1981-46295/,D,0-0,League Division Four,,1538,League Division Four,0-0,
07 Mar 1981,Wimbledon,Tranmere Rovers,https://www.11v11.com/matches/wimbledon-v-tranmere-rovers-07-march-1981-46308/,L,2-1,League Division Four,,2394,League Division Four,2-1 to Wimbledon,
10 Mar 1981,Tranmere Rovers,Bradford City,https://www.11v11.com/matches/tranmere-rovers-v-bradford-city-10-march-1981-46312/,D,1-1,League Division Four,,1300,League Division Four,1-1,
18 Mar 1981,Peterborough United,Tranmere Rovers,https://www.11v11.com/matches/peterborough-united-v-tranmere-rovers-18-march-1981-46326/,L,4-1,League Division Four,,3034,League Division Four,4-1 to Peterborough United,
22 Mar 1981,Aldershot,Tranmere Rovers,https://www.11v11.com/matches/aldershot-v-tranmere-rovers-22-march-1981-46335/,L,3-2,League Division Four,,4493,League Division Four,3-2 to Aldershot,
24 Mar 1981,Tranmere Rovers,Port Vale,https://www.11v11.com/matches/tranmere-rovers-v-port-vale-24-march-1981-46339/,L,1-2,League Division Four,,1479,League Division Four,2-1 to Port Vale,
29 Mar 1981,Tranmere Rovers,Wigan Athletic,https://www.11v11.com/matches/tranmere-rovers-v-wigan-athletic-29-march-1981-46352/,L,2-3,League Division Four,,3437,League Division Four,3-2 to Wigan Athletic,
04 Apr 1981,Bury,Tranmere Rovers,https://www.11v11.com/matches/bury-v-tranmere-rovers-04-april-1981-46358/,D,2-2,League Division Four,,2425,League Division Four,2-2,
10 Apr 1981,Tranmere Rovers,Darlington,https://www.11v11.com/matches/tranmere-rovers-v-darlington-10-april-1981-46370/,W,3-1,League Division Four,,1225,League Division Four,3-1 to Tranmere Rovers,
17 Apr 1981,Tranmere Rovers,Doncaster Rovers,https://www.11v11.com/matches/tranmere-rovers-v-doncaster-rovers-17-april-1981-46386/,D,1-1,League Division Four,,2919,League Division Four,1-1,
20 Apr 1981,Stockport County,Tranmere Rovers,https://www.11v11.com/matches/stockport-county-v-tranmere-rovers-20-april-1981-46402/,L,1-0,League Division Four,,2311,League Division Four,1-0 to Stockport County,
24 Apr 1981,Tranmere Rovers,Scunthorpe United,https://www.11v11.com/matches/tranmere-rovers-v-scunthorpe-united-24-april-1981-46406/,L,1-2,League Division Four,,1073,League Division Four,2-1 to Scunthorpe United,
29 Apr 1981,Tranmere Rovers,Hereford United,https://www.11v11.com/matches/tranmere-rovers-v-hereford-united-29-april-1981-46416/,W,2-1,League Division Four,,1136,League Division Four,2-1 to Tranmere Rovers,
02 May 1981,Hartlepool United,Tranmere Rovers,https://www.11v11.com/matches/hartlepool-united-v-tranmere-rovers-02-may-1981-46423/,L,3-0,League Division Four,,1826,League Division Four,3-0 to Hartlepool United,
11 Aug 1979,Port Vale,Tranmere Rovers,https://www.11v11.com/matches/port-vale-v-tranmere-rovers-11-august-1979-30330/,W,1-2,League Cup,,,League Cup 1st round 1st leg,2-1 to Tranmere Rovers,
15 Aug 1979,Tranmere Rovers,Port Vale,https://www.11v11.com/matches/tranmere-rovers-v-port-vale-15-august-1979-30377/,W,1-0Agg: 3-1,League Cup,,,League Cup 1st round 2nd leg,1-0 to Tranmere Rovers,
18 Aug 1979,Tranmere Rovers,Halifax Town,https://www.11v11.com/matches/tranmere-rovers-v-halifax-town-18-august-1979-45342/,W,2-0,League Division Four,,2650,League Division Four,2-0 to Tranmere Rovers,
22 Aug 1979,Peterborough United,Tranmere Rovers,https://www.11v11.com/matches/peterborough-united-v-tranmere-rovers-22-august-1979-45354/,W,1-2,League Division Four,,4878,League Division Four,2-1 to Tranmere Rovers,
25 Aug 1979,Bradford City,Tranmere Rovers,https://www.11v11.com/matches/bradford-city-v-tranmere-rovers-25-august-1979-45360/,L,2-0,League Division Four,,4627,League Division Four,2-0 to Bradford City,
29 Aug 1979,Tranmere Rovers,Liverpool,https://www.11v11.com/matches/tranmere-rovers-v-liverpool-29-august-1979-30409/,D,0-0,League Cup,,16759,League Cup 2nd round 1st leg,0-0,
31 Aug 1979,Tranmere Rovers,Stockport County,https://www.11v11.com/matches/tranmere-rovers-v-stockport-county-31-august-1979-45369/,L,0-1,League Division Four,,2771,League Division Four,1-0 to Stockport County,
04 Sep 1979,Liverpool,Tranmere Rovers,https://www.11v11.com/matches/liverpool-v-tranmere-rovers-04-september-1979-30426/,L,4-0Agg: 4-0,League Cup,Anfield,24785,League Cup 2nd round 2nd leg,4-0 to Liverpool,
08 Sep 1979,Hereford United,Tranmere Rovers,https://www.11v11.com/matches/hereford-united-v-tranmere-rovers-08-september-1979-45386/,W,1-2,League Division Four,,3812,League Division Four,2-1 to Tranmere Rovers,
14 Sep 1979,Tranmere Rovers,Portsmouth,https://www.11v11.com/matches/tranmere-rovers-v-portsmouth-14-september-1979-45394/,W,4-1,League Division Four,,3550,League Division Four,4-1 to Tranmere Rovers,
17 Sep 1979,Tranmere Rovers,Doncaster Rovers,https://www.11v11.com/matches/tranmere-rovers-v-doncaster-rovers-17-september-1979-45406/,W,1-0,League Division Four,,3018,League Division Four,1-0 to Tranmere Rovers,
22 Sep 1979,Lincoln City,Tranmere Rovers,https://www.11v11.com/matches/lincoln-city-v-tranmere-rovers-22-september-1979-45424/,L,3-0,League Division Four,,3286,League Division Four,3-0 to Lincoln City,
28 Sep 1979,Tranmere Rovers,AFC Bournemouth,https://www.11v11.com/matches/tranmere-rovers-v-afc-bournemouth-28-september-1979-45430/,L,0-5,League Division Four,,2803,League Division Four,5-0 to AFC Bournemouth,
02 Oct 1979,Doncaster Rovers,Tranmere Rovers,https://www.11v11.com/matches/doncaster-rovers-v-tranmere-rovers-02-october-1979-45443/,D,1-1,League Division Four,,2973,League Division Four,1-1,
06 Oct 1979,Northampton Town,Tranmere Rovers,https://www.11v11.com/matches/northampton-town-v-tranmere-rovers-06-october-1979-45455/,L,2-1,League Division Four,,2324,League Division Four,2-1 to Northampton Town,
08 Oct 1979,Tranmere Rovers,Peterborough United,https://www.11v11.com/matches/tranmere-rovers-v-peterborough-united-08-october-1979-45462/,W,3-0,League Division Four,,1907,League Division Four,3-0 to Tranmere Rovers,
13 Oct 1979,Newport County,Tranmere Rovers,https://www.11v11.com/matches/newport-county-v-tranmere-rovers-13-october-1979-45484/,L,2-0,League Division Four,,4052,League Division Four,2-0 to Newport County,
19 Oct 1979,Tranmere Rovers,York City,https://www.11v11.com/matches/tranmere-rovers-v-york-city-19-october-1979-45487/,L,1-2,League Division Four,,2197,League Division Four,2-1 to York City,
22 Oct 1979,Port Vale,Tranmere Rovers,https://www.11v11.com/matches/port-vale-v-tranmere-rovers-22-october-1979-45498/,W,0-1,League Division Four,,2990,League Division Four,1-0 to Tranmere Rovers,
26 Oct 1979,Tranmere Rovers,Scunthorpe United,https://www.11v11.com/matches/tranmere-rovers-v-scunthorpe-united-26-october-1979-45512/,L,1-2,League Division Four,,1876,League Division Four,2-1 to Scunthorpe United,
03 Nov 1979,Halifax Town,Tranmere Rovers,https://www.11v11.com/matches/halifax-town-v-tranmere-rovers-03-november-1979-45527/,D,0-0,League Division Four,,4439,League Division Four,0-0,
12 Nov 1979,Tranmere Rovers,Port Vale,https://www.11v11.com/matches/tranmere-rovers-v-port-vale-12-november-1979-45555/,D,1-1,League Division Four,,2140,League Division Four,1-1,
17 Nov 1979,Huddersfield Town,Tranmere Rovers,https://www.11v11.com/matches/huddersfield-town-v-tranmere-rovers-17-november-1979-45560/,D,1-1,League Division Four,"Leeds Road, Huddersfield",7069,League Division Four,1-1,
24 Nov 1979,Tranmere Rovers,Leamington,https://www.11v11.com/matches/tranmere-rovers-v-leamington-24-november-1979-214531/,W,9-0,FA Cup,,,FA Cup 1st round,9-0 to Tranmere Rovers,
30 Nov 1979,Tranmere Rovers,Torquay United,https://www.11v11.com/matches/tranmere-rovers-v-torquay-united-30-november-1979-45571/,W,2-0,League Division Four,,2158,League Division Four,2-0 to Tranmere Rovers,
08 Dec 1979,Darlington,Tranmere Rovers,https://www.11v11.com/matches/darlington-v-tranmere-rovers-08-december-1979-45584/,L,3-1,League Division Four,,1403,League Division Four,3-1 to Darlington,
15 Dec 1979,Tranmere Rovers,Rochdale,https://www.11v11.com/matches/tranmere-rovers-v-rochdale-15-december-1979-214557/,D,2-2,FA Cup,,,FA Cup 2nd round,2-2,
18 Dec 1979,Rochdale,Tranmere Rovers,https://www.11v11.com/matches/rochdale-v-tranmere-rovers-18-december-1979-214564/,L,2-1,FA Cup,,,FA Cup 2nd round replay,2-1 to Rochdale,
21 Dec 1979,Tranmere Rovers,Aldershot,https://www.11v11.com/matches/tranmere-rovers-v-aldershot-21-december-1979-45601/,L,1-2,League Division Four,,1503,League Division Four,2-1 to Aldershot,
26 Dec 1979,Crewe Alexandra,Tranmere Rovers,https://www.11v11.com/matches/crewe-alexandra-v-tranmere-rovers-26-december-1979-45605/,D,0-0,League Division Four,,2597,League Division Four,0-0,
28 Dec 1979,Tranmere Rovers,Bradford City,https://www.11v11.com/matches/tranmere-rovers-v-bradford-city-28-december-1979-45614/,W,4-0,League Division Four,,2547,League Division Four,4-0 to Tranmere Rovers,
05 Jan 1980,Hartlepool United,Tranmere Rovers,https://www.11v11.com/matches/hartlepool-united-v-tranmere-rovers-05-january-1980-45631/,L,2-1,League Division Four,,2517,League Division Four,2-1 to Hartlepool United,
11 Jan 1980,Stockport County,Tranmere Rovers,https://www.11v11.com/matches/stockport-county-v-tranmere-rovers-11-january-1980-45638/,D,2-2,League Division Four,,2878,League Division Four,2-2,
25 Jan 1980,Tranmere Rovers,Rochdale,https://www.11v11.com/matches/tranmere-rovers-v-rochdale-25-january-1980-45651/,W,5-1,League Division Four,,1890,League Division Four,5-1 to Tranmere Rovers,
02 Feb 1980,Portsmouth,Tranmere Rovers,https://www.11v11.com/matches/portsmouth-v-tranmere-rovers-02-february-1980-45670/,D,1-1,League Division Four,Fratton Park,12821,League Division Four,1-1,
09 Feb 1980,Tranmere Rovers,Lincoln City,https://www.11v11.com/matches/tranmere-rovers-v-lincoln-city-09-february-1980-45681/,W,1-0,League Division Four,,2021,League Division Four,1-0 to Tranmere Rovers,
16 Feb 1980,AFC Bournemouth,Tranmere Rovers,https://www.11v11.com/matches/afc-bournemouth-v-tranmere-rovers-16-february-1980-45690/,L,2-1,League Division Four,,2907,League Division Four,2-1 to AFC Bournemouth,
22 Feb 1980,Tranmere Rovers,Newport County,https://www.11v11.com/matches/tranmere-rovers-v-newport-county-22-february-1980-45703/,L,0-2,League Division Four,,2056,League Division Four,2-0 to Newport County,
01 Mar 1980,York City,Tranmere Rovers,https://www.11v11.com/matches/york-city-v-tranmere-rovers-01-march-1980-45725/,W,0-1,League Division Four,,2327,League Division Four,1-0 to Tranmere Rovers,
04 Mar 1980,Tranmere Rovers,Walsall,https://www.11v11.com/matches/tranmere-rovers-v-walsall-04-march-1980-45729/,L,0-1,League Division Four,,2903,League Division Four,1-0 to Walsall,
08 Mar 1980,Scunthorpe United,Tranmere Rovers,https://www.11v11.com/matches/scunthorpe-united-v-tranmere-rovers-08-march-1980-45740/,D,2-2,League Division Four,,1911,League Division Four,2-2,
10 Mar 1980,Tranmere Rovers,Wigan Athletic,https://www.11v11.com/matches/tranmere-rovers-v-wigan-athletic-10-march-1980-45745/,L,1-3,League Division Four,,3069,League Division Four,3-1 to Wigan Athletic,
14 Mar 1980,Tranmere Rovers,Northampton Town,https://www.11v11.com/matches/tranmere-rovers-v-northampton-town-14-march-1980-45751/,D,1-1,League Division Four,,1500,League Division Four,1-1,
22 Mar 1980,Wigan Athletic,Tranmere Rovers,https://www.11v11.com/matches/wigan-athletic-v-tranmere-rovers-22-march-1980-45772/,D,0-0,League Division Four,"Springfield Park, Wigan",5828,League Division Four,0-0,
25 Mar 1980,Tranmere Rovers,Hereford United,https://www.11v11.com/matches/tranmere-rovers-v-hereford-united-25-march-1980-45775/,D,0-0,League Division Four,,1214,League Division Four,0-0,
29 Mar 1980,Tranmere Rovers,Huddersfield Town,https://www.11v11.com/matches/tranmere-rovers-v-huddersfield-town-29-march-1980-45786/,D,0-0,League Division Four,,3232,League Division Four,0-0,
05 Apr 1980,Tranmere Rovers,Crewe Alexandra,https://www.11v11.com/matches/tranmere-rovers-v-crewe-alexandra-05-april-1980-45805/,W,2-0,League Division Four,,1806,League Division Four,2-0 to Tranmere Rovers,
07 Apr 1980,Walsall,Tranmere Rovers,https://www.11v11.com/matches/walsall-v-tranmere-rovers-07-april-1980-45817/,L,2-0,League Division Four,,5810,League Division Four,2-0 to Walsall,
11 Apr 1980,Tranmere Rovers,Hartlepool United,https://www.11v11.com/matches/tranmere-rovers-v-hartlepool-united-11-april-1980-45825/,W,1-0,League Division Four,,1590,League Division Four,1-0 to Tranmere Rovers,
19 Apr 1980,Torquay United,Tranmere Rovers,https://www.11v11.com/matches/torquay-united-v-tranmere-rovers-19-april-1980-45848/,L,3-1,League Division Four,,1744,League Division Four,3-1 to Torquay United,
26 Apr 1980,Tranmere Rovers,Darlington,https://www.11v11.com/matches/tranmere-rovers-v-darlington-26-april-1980-45864/,L,1-2,League Division Four,,1244,League Division Four,2-1 to Darlington,
02 May 1980,Rochdale,Tranmere Rovers,https://www.11v11.com/matches/rochdale-v-tranmere-rovers-02-may-1980-45870/,L,2-0,League Division Four,,1082,League Division Four,2-0 to Rochdale,
06 May 1980,Aldershot,Tranmere Rovers,https://www.11v11.com/matches/aldershot-v-tranmere-rovers-06-may-1980-45882/,D,0-0,League Division Four,,2057,League Division Four,0-0,
12 Aug 1978,Tranmere Rovers,Wigan Athletic,https://www.11v11.com/matches/tranmere-rovers-v-wigan-athletic-12-august-1978-30197/,D,1-1,League Cup,,,League Cup 1st round 1st leg,1-1,
16 Aug 1978,Wigan Athletic,Tranmere Rovers,https://www.11v11.com/matches/wigan-athletic-v-tranmere-rovers-16-august-1978-30244/,L,2-1Agg: 3-2,League Cup,"Springfield Park, Wigan",,League Cup 1st round 2nd leg,2-1 to Wigan Athletic,
19 Aug 1978,Lincoln City,Tranmere Rovers,https://www.11v11.com/matches/lincoln-city-v-tranmere-rovers-19-august-1978-136365/,L,2-1,League Division Three,,,League Division Three,2-1 to Lincoln City,
21 Aug 1978,Tranmere Rovers,Swindon Town,https://www.11v11.com/matches/tranmere-rovers-v-swindon-town-21-august-1978-136373/,D,1-1,League Division Three,,,League Division Three,1-1,
26 Aug 1978,Tranmere Rovers,Hull City,https://www.11v11.com/matches/tranmere-rovers-v-hull-city-26-august-1978-136390/,L,1-3,League Division Three,,,League Division Three,3-1 to Hull City,
02 Sep 1978,Peterborough United,Tranmere Rovers,https://www.11v11.com/matches/peterborough-united-v-tranmere-rovers-02-september-1978-136400/,L,1-0,League Division Three,,,League Division Three,1-0 to Peterborough United,
09 Sep 1978,Tranmere Rovers,Gillingham,https://www.11v11.com/matches/tranmere-rovers-v-gillingham-09-september-1978-136414/,D,1-1,League Division Three,,,League Division Three,1-1,
16 Sep 1978,Swansea City,Tranmere Rovers,https://www.11v11.com/matches/swansea-city-v-tranmere-rovers-16-september-1978-136439/,L,4-3,League Division Three,,,League Division Three,4-3 to Swansea City,
